id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
20357,-0.251562523,-0.221664024,-0.166413543,-1.498408203,-0.335155983,-1.549811298,-0.702847452,-0.625934413,-0.181498248,-0.076627787,-0.101028494,0
37665,-0.251562523,-0.221664024,-0.166413543,-0.229971843,-0.31529242,-0.766447401,-0.409257558,-0.811798391,-1.542562328,-0.817083082,-0.536776259,0
31112,-0.251562523,-0.221664024,-0.166413543,2.304874619,-0.189131956,0.414395006,-0.782186191,0.011313512,-0.183010542,-0.213027447,-1.413140072,0
35691,-0.251562523,-0.221664024,-0.166413543,-1.006027955,-0.162289304,-0.392155137,1.622198044,0.754769423,1.345918108,0.371542523,-1.175393418,0
43398,-0.251562523,0.21691302,-0.166413543,-0.691958249,1.722064859,0.694286124,0.283493938,-0.360414444,0.320583168,-0.4663411,-1.225093513,2
24333,3.381926015,1.971221198,-0.166413543,0.001021359,3.649367266,2.121896439,0.830455932,0.064417505,1.137221616,0.371542523,1.724505411,10
173,-0.251562523,-0.221664024,-0.166413543,-0.122580267,-0.232617052,-0.527960295,0.442080011,0.383041467,0.479373977,0.196171532,-0.313779779,1
2830,3.381926015,0.21691302,0.748921196,-0.375862287,-0.253017468,0.069913631,-0.847905722,0.675113433,0.482398564,-0.349427106,-0.576957768,1
13905,-0.251562523,-0.221664024,-0.166413543,1.010096929,-0.294355152,-1.468659435,0.093830479,-1.024214365,-2.002299528,-0.953482742,-0.443988216,0
23066,3.381926015,0.21691302,0.748921196,-0.94524027,1.017713673,1.467713058,1.107593092,0.993737395,1.630229271,0.157200201,-0.545495574,1
16404,-0.251562523,-0.221664024,-0.166413543,0.544058012,-0.345893043,1.355094147,-0.572596643,-0.7321424,-1.082825128,-0.329941441,0.766107377,0
34870,-0.251562523,-0.221664024,-0.166413543,0.665633381,-0.323345216,-0.090733934,-0.026457286,-0.413518438,0.120960436,0.079257538,-1.286637344,0
16730,-0.251562523,-0.221664024,-0.166413543,0.325222346,-0.342135072,-0.306034793,-0.829716311,-0.652486409,-0.654846089,-0.505312431,-0.21830328,0
10013,-0.251562523,-0.221664024,-0.166413543,0.264434661,-0.343208778,-0.700200982,-0.909694878,-0.918006378,-1.211370069,-0.700169088,0.074593041,0
36257,-0.251562523,-0.221664024,-0.166413543,-0.72843086,-0.130614975,-0.334189521,-0.493257905,-0.758694397,-0.883202396,-0.875540079,-1.046492878,3
18138,-0.251562523,-0.221664024,-0.166413543,-0.197551745,-0.287912915,-1.289794106,-0.943971406,-0.7321424,-1.430652615,-0.641712091,-1.062986916,0
34358,-0.251562523,-0.221664024,0.291253826,-0.357625982,-0.257312292,0.864870651,-0.699556906,-0.413518438,-0.981501468,-0.583255094,-1.164058308,0
27789,-0.251562523,0.21691302,0.291253826,0.124622985,0.934501452,1.805569791,-0.061922067,0.250281483,0.550451768,0.410513854,2.218599925,11
15527,-0.251562523,-0.221664024,-0.166413543,-0.880400072,-0.329787452,-1.34279124,-0.498833554,-0.307310451,0.009050723,-0.563769428,-1.276319488,1
38915,-0.251562523,0.21691302,-0.166413543,-0.414361154,-0.33461913,-0.18513508,-0.62789611,-0.7321424,-1.453337016,-0.485826766,0.143184985,0
41600,-0.251562523,-0.221664024,-0.166413543,0.169200621,-0.336766542,0.058320508,2.944632224,2.693065193,2.213974532,2.417537417,2.466228469,0
24547,-0.251562523,-0.221664024,-0.166413543,-0.550120318,-0.264828235,-1.602808432,0.516300121,0.409593464,0.831738344,0.098743204,-1.04206056,1
34343,0.959600323,1.532644153,-0.166413543,-0.155000365,1.996933615,2.436566926,-0.870391125,-0.307310451,-0.648796916,-0.01817079,0.273684065,32
21402,-0.251562523,-0.221664024,-0.166413543,-0.31102209,-0.335155983,-0.643891527,-0.367668704,-0.333862447,-0.057490188,-0.135084784,1.062636746,0
1489,-0.251562523,-0.221664024,-0.166413543,-0.402203617,-0.307776478,0.003667212,-0.600200674,0.27683348,0.296386473,-0.524798097,-0.95784651,0
17683,-0.251562523,-0.221664024,-0.166413543,-0.491358889,-0.324418922,0.7539079,-0.335677277,-0.811798391,-0.291895668,-0.661197757,1.081237951,0
7945,-0.251562523,-0.221664024,-0.166413543,-0.663590663,-0.314218714,-1.137427344,-0.756410241,-0.891454381,-0.55352243,-0.856054413,-0.328602614,0
