id,bottom_left_longitude,bottom_left_latitude,top_right_longitude,top_right_latitude,school
263,-2.514308596,52.37921271,-2.499946192,52.38819584,0
264,-2.514308596,52.37022958,-2.499946192,52.37921271,0
265,-2.514308596,52.36124645,-2.499946192,52.37022958,0
266,-2.514308596,52.35226332,-2.499946192,52.36124645,0
267,-2.514308596,52.34328018,-2.499946192,52.35226332,0
268,-2.514308596,52.33429705,-2.499946192,52.34328018,0
269,-2.514308596,52.32531392,-2.499946192,52.33429705,0
270,-2.514308596,52.31633079,-2.499946192,52.32531392,0
271,-2.514308596,52.30734766,-2.499946192,52.31633079,0
272,-2.514308596,52.29836453,-2.499946192,52.30734766,0
273,-2.514308596,52.2893814,-2.499946192,52.29836453,0
274,-2.514308596,52.28039827,-2.499946192,52.2893814,0
275,-2.514308596,52.27141514,-2.499946192,52.28039827,0
276,-2.514308596,52.262432,-2.499946192,52.27141514,0
277,-2.514308596,52.25344887,-2.499946192,52.262432,0
278,-2.514308596,52.24446574,-2.499946192,52.25344887,0
279,-2.514308596,52.23548261,-2.499946192,52.24446574,0
280,-2.514308596,52.22649948,-2.499946192,52.23548261,0
281,-2.514308596,52.21751635,-2.499946192,52.22649948,0
282,-2.514308596,52.20853322,-2.499946192,52.21751635,0
283,-2.514308596,52.19955009,-2.499946192,52.20853322,0
284,-2.514308596,52.19056696,-2.499946192,52.19955009,0
285,-2.514308596,52.18158383,-2.499946192,52.19056696,1
286,-2.514308596,52.17260069,-2.499946192,52.18158383,0
287,-2.514308596,52.16361756,-2.499946192,52.17260069,0
288,-2.514308596,52.15463443,-2.499946192,52.16361756,0
289,-2.514308596,52.1456513,-2.499946192,52.15463443,0
290,-2.514308596,52.13666817,-2.499946192,52.1456513,0
291,-2.514308596,52.12768504,-2.499946192,52.13666817,0
292,-2.514308596,52.11870191,-2.499946192,52.12768504,0
293,-2.514308596,52.10971878,-2.499946192,52.11870191,0
294,-2.514308596,52.10073565,-2.499946192,52.10971878,0
295,-2.514308596,52.09175251,-2.499946192,52.10073565,0
296,-2.514308596,52.08276938,-2.499946192,52.09175251,0
297,-2.514308596,52.07378625,-2.499946192,52.08276938,0
298,-2.514308596,52.06480312,-2.499946192,52.07378625,0
299,-2.514308596,52.05581999,-2.499946192,52.06480312,0
300,-2.514308596,52.04683686,-2.499946192,52.05581999,0
301,-2.514308596,52.03785373,-2.499946192,52.04683686,0
302,-2.514308596,52.0288706,-2.499946192,52.03785373,0
303,-2.514308596,52.01988747,-2.499946192,52.0288706,0
304,-2.514308596,52.01090434,-2.499946192,52.01988747,0
305,-2.514308596,52.0019212,-2.499946192,52.01090434,0
306,-2.514308596,51.99293807,-2.499946192,52.0019212,0
307,-2.514308596,51.98395494,-2.499946192,51.99293807,0
308,-2.514308596,51.97497181,-2.499946192,51.98395494,0
309,-2.514308596,51.96598868,-2.499946192,51.97497181,0
310,-2.514308596,51.95700555,-2.499946192,51.96598868,0
311,-2.514308596,51.94802242,-2.499946192,51.95700555,0
312,-2.514308596,51.93903929,-2.499946192,51.94802242,0
313,-2.514308596,51.93005616,-2.499946192,51.93903929,0
314,-2.514308596,51.92107302,-2.499946192,51.93005616,0
315,-2.514308596,51.91208989,-2.499946192,51.92107302,0
316,-2.514308596,51.90310676,-2.499946192,51.91208989,0
317,-2.514308596,51.89412363,-2.499946192,51.90310676,0
318,-2.514308596,51.8851405,-2.499946192,51.89412363,0
319,-2.514308596,51.87615737,-2.499946192,51.8851405,0
320,-2.514308596,51.86717424,-2.499946192,51.87615737,0
321,-2.514308596,51.85819111,-2.499946192,51.86717424,0
322,-2.514308596,51.84920798,-2.499946192,51.85819111,0
