id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
1933,-0.251562523,-0.221664024,0.291253826,-0.280628248,-0.338377101,-0.62070528,-0.14583101,-0.041790482,0.940623471,0.235142864,2.609588539,1
17838,0.959600323,-0.221664024,0.291253826,-0.331284652,-0.138667771,-1.841295538,0.613554058,-0.599382416,-0.20418265,-0.407884103,-0.745603852,0
22565,-0.251562523,-0.221664024,-0.166413543,2.418344964,-0.328713746,-1.763455997,0.014217528,-0.7321424,-1.441238669,-0.622226425,1.826448735,0
36755,-0.251562523,-0.221664024,-0.166413543,0.187436926,-0.337303395,-0.135450266,1.491033194,0.754769423,1.563688361,1.092512152,-0.513742735,0
18178,-0.251562523,-0.221664024,-0.166413543,-1.210679827,-0.29757627,1.133168645,0.891148239,-0.333862447,0.275214365,-0.446855434,-0.136196398,0
17584,-0.251562523,-0.221664024,-0.166413543,-1.012106723,-0.346966749,0.452486697,-0.768109963,-0.838350387,-0.518739681,-0.290970109,0.112958027,0
3669,-0.251562523,-0.221664024,-0.166413543,-0.977660368,-0.049550166,-0.178510438,-0.672866915,0.515801452,-0.137641739,-0.4663411,-1.475846478,0
1333,-0.251562523,-0.221664024,-0.166413543,0.150964316,-0.341598219,-1.612745395,-0.558794628,-0.333862447,-0.211744117,0.079257538,2.596509567,0
1244,-0.251562523,-0.221664024,0.291253826,1.08912092,-0.339450807,0.038446582,0.278009693,0.356489471,0.443078935,0.527427848,1.599891868,0
39943,-0.251562523,0.21691302,-0.166413543,-0.60685549,-0.320124097,-0.51139869,0.663003664,-1.289734334,-1.029894858,-1.089882401,-0.944331571,0
18668,-0.251562523,-0.221664024,-0.166413543,-0.213761794,-0.32227151,-1.329541957,0.306070745,-0.360414444,0.007538429,-0.310455775,0.065510421,0
31577,0.959600323,-0.221664024,-0.166413543,-0.999949186,2.028607944,-0.14869955,-1.002378611,-0.971110372,-1.126681637,-0.544283763,-1.022514762,1
41625,-0.251562523,-0.221664024,-0.166413543,0.203646976,-0.313145008,0.303432255,0.045843339,0.064417505,0.636652493,0.352056857,-0.37452434,0
1776,-0.251562523,-0.221664024,-0.166413543,-0.546067805,-0.292744593,-0.885690954,-0.662446851,0.807873417,0.86954568,0.761255836,-0.265169598,0
39608,-0.251562523,0.21691302,-0.166413543,0.045598995,0.542061882,0.763844863,0.977525091,1.71064131,1.138733909,2.125252432,0.074811024,3
4629,-0.251562523,-0.221664024,-0.166413543,-0.359652238,-0.320660951,-0.450120753,0.089260275,-0.493174428,-0.043879547,-0.4663411,-0.318575402,1
24893,-0.251562523,-0.221664024,-0.166413543,-0.768955983,-0.32227151,-0.431902988,0.170792712,-0.519726425,-0.20871953,-0.349427106,2.303249941,0
24101,-0.251562523,-0.221664024,-0.166413543,0.77707747,-0.33998766,1.038767499,-0.656962606,-0.546278422,-0.8363213,-0.349427106,0.452793327,0
25293,0.959600323,1.094067109,0.748921196,-0.933082733,1.200243706,-0.383874335,-0.952746198,-0.254206457,-0.0317812,-0.719654754,-1.453394242,2
26436,2.170763169,-0.221664024,0.748921196,-0.669669431,-0.015728425,1.36668727,3.766354872,4.657912959,2.607170822,4.989645284,-1.427018315,1
29962,-0.251562523,-0.221664024,-0.166413543,0.732499835,-0.346429896,-1.505094965,-0.480552738,-0.068342479,0.272189778,0.11822887,0.25050522,0
32691,2.170763169,0.655490065,-0.166413543,-1.279572537,3.058828924,-0.938688089,-0.271694423,1.445121341,1.339868934,0.800227168,-1.452740294,5
12562,-0.251562523,-0.221664024,-0.166413543,0.667659638,-0.317439832,0.730721654,-0.183398085,-0.546278422,-0.588305179,-0.446855434,-0.641262716,0
27754,0.959600323,-0.221664024,0.291253826,1.624052547,-0.271270471,-1.220235366,-0.382110548,-0.493174428,-1.336890423,-0.349427106,-0.914322596,0
31209,-0.251562523,-0.221664024,-0.166413543,0.195541951,-0.324418922,-0.107295538,-0.176816992,-0.068342479,-0.148227793,-0.096113453,0.609087047,0
15287,-0.251562523,1.094067109,-0.166413543,-0.785166033,0.251624388,-1.074493246,-0.23641245,-0.121446473,-0.254088333,-0.524798097,-0.151309877,0
25756,-0.251562523,-0.221664024,-0.166413543,-1.147865886,-0.319050391,-0.958562014,-0.63283193,-0.147998469,-0.532350322,-0.057142121,-0.895794052,0
381,2.170763169,0.655490065,0.291253826,-0.122580267,-0.232617052,-0.527960295,0.442080011,0.383041467,0.479373977,0.196171532,-0.313779779,1
7319,-0.251562523,-0.221664024,0.291253826,-0.760850959,-0.319050391,-1.409037659,-0.779444069,-0.22765446,-0.164863021,-0.349427106,-0.09993858,0
508,-0.251562523,-0.221664024,-0.166413543,0.296854759,-0.340524513,-0.274567745,-0.41602146,-0.493174428,-0.32819071,0.098743204,2.959233068,0
42799,-0.251562523,0.21691302,-0.166413543,-1.449778055,-0.323345216,1.230882112,-0.434028063,0.037865508,0.080128514,-0.15457045,0.099879054,2
9868,-0.251562523,-0.221664024,-0.166413543,-0.361678494,-0.344282484,1.893346296,-0.258258024,-0.147998469,0.391660959,-0.271484444,-0.314797032,0
33916,3.381926015,0.655490065,-0.166413543,-0.537962781,4.746694875,1.307065493,-0.473880241,1.259257363,2.17314261,2.086281101,1.015116479,14
477,-0.251562523,-0.221664024,-0.166413543,0.681843431,-0.322808363,0.739002456,-0.142723271,-0.22765446,-0.170912194,-0.524798097,0.341258756,0
